name,price,sku,link
,₨120.00,,https://ziaulquran.com/shop/page/5/?add-to-cart=10530
,₨100.00,,https://ziaulquran.com/shop/page/5/?add-to-cart=10533
,₨470.00,,https://ziaulquran.com/shop/page/5/?add-to-cart=10535
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,₨220.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10537
,₨150.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=11157
,₨370.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10539
,₨80.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10543
,₨640.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10545
,₨210.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10547
,₨90.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=11109
,₨80.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=9378
,₨150.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10550
,"₨5,000.00",,https://ziaulquran.com/shop/page/6/?add-to-cart=10552
,₨825.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=11861
,₨90.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10560
,"₨2,850.00",,https://ziaulquran.com/shop/page/6/?add-to-cart=8947
,₨670.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10562
,₨252.00,,https://ziaulquran.com/shop/page/6/?add-to-cart=10564
,"₨2,450.00",,https://ziaulquran.com/shop/page/6/?add-to-cart=8923
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨3,300.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8925
,"₨2,400.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8927
,"₨5,990.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8929
,"₨3,100.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8932
,"₨3,650.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8933
,"₨4,225.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8934
,"₨3,050.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8936
,"₨6,100.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8938
,"₨1,500.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=8978
,₨915.00,,https://ziaulquran.com/shop/page/7/?add-to-cart=8980
,"₨2,000.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=9167
,"₨1,960.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=9168
,₨960.00,,https://ziaulquran.com/shop/page/7/?add-to-cart=11862
,"₨2,550.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=10566
,"₨36,000.00",,https://ziaulquran.com/shop/page/7/?add-to-cart=10570
,₨200.00,,https://ziaulquran.com/shop/page/7/?add-to-cart=10573
,,,https://ziaulquran.com/product/quran-majeed-in-15-lines-without-translation/
,,,https://ziaulquran.com/product/16919/
,,,https://ziaulquran.com/product/quran-majeed-in-12-lines/
,"₨1,130.00",,https://ziaulquran.com/shop/page/8/?add-to-cart=10575
,"₨1,130.00",,https://ziaulquran.com/shop/page/8/?add-to-cart=11863
,₨90.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10578
,₨80.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=9366
,"₨1,000.00",,https://ziaulquran.com/shop/page/8/?add-to-cart=10580
,₨250.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10582
,₨390.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10585
,₨330.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10587
,₨85.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10589
,₨390.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10591
,₨550.00,,https://ziaulquran.com/shop/page/8/?add-to-cart=10593
